Name,,Muscle Group,,,,,,,,,,,,,,,,,,,,,,,,
CABLE FLYE,CABLE,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
CABLE CHEST PRESS,CABLE,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
CABLE INCLINE CHEST PRESS,CABLE,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
CABLE HIGH INCLINE CHEST PRESS,CABLE,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
CABLE LOW INCLINE CHEST PRESS,CABLE,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
CABLE BENT FLYE,CABLE,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
CABLE UNDERHAND FLYE,CABLE,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
CABLE INCLINE CHEST PRESS,CABLE,CHEST,,,,CABLE INCLINE CHEST PRESS,CABLE INCLINE CHEST PRESS,CABLE INCLINE CHEST PRESS,CABLE INCLINE CHEST PRESS,CABLE INCLINE CHEST PRESS,CABLE INCLINE CHEST PRESS,CABLE INCLINE CHEST PRESS,CABLE INCLINE CHEST PRESS,CABLE INCLINE CHEST PRESS,CABLE INCLINE CHEST PRESS,CABLE INCLINE CHEST PRESS,CABLE INCLINE CHEST PRESS,CABLE INCLINE CHEST PRESS,CABLE INCLINE CHEST PRESS,CABLE INCLINE CHEST PRESS,CABLE INCLINE CHEST PRESS,CABLE INCLINE CHEST PRESS,CABLE INCLINE CHEST PRESS,CABLE INCLINE CHEST PRESS,CABLE INCLINE CHEST PRESS,CABLE INCLINE CHEST PRESS
CAMBERED BAR BENCH PRESS,BARBELL,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
DEFICIT PUSH-UP,BODYWEIGHT,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
FLAT DB BENCH PRESS,DUMBBELL,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
FLAT DB FLYE,DUMBBELL,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
FLAT DB FLYE PRESS,DUMBBELL,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
FLAT HAMMER MACHINE PRESS,DUMBBELL,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
INCLINE HAMMER MACHINE PRESS,MACHINE,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
HIGH-INCLINE DB PRESS,DUMBBELL,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
INCLINE DB FLYE,DUMBBELL,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
INCLINE DB PRESS,DUMBBELL,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
INCLINE DB FLYE PRESS,DUMBBELL,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
INCLINE MACHINE PRESS,MACHINE,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
INCLINE BB MEDIUM-GRIP BENCH PRESS,BARBELL,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
INCLINE BB NARROW-GRIP BENCH PRESS,BARBELL,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
INCLINE BB WIDE-GRIP BENCH PRESS,BARBELL,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
LOW-INCLINE DB PRESS,DUMBBELL,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
MACHINE CHEST PRESS,MACHINE,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
MACHINE FLYE,MACHINE,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
MEDIUM-GRIP BB BENCH PRESS,BARBELL,CHEST,,,,,,,,,,,,,,,,,,,,,,,,
